,Ort,Anzahl,TV_insgesamt,TV_männlich,TV_weiblich,GeoData,Latitude,Longitude
0,Baden-Württemberg,106,102,68,34,"Baden-Württemberg, Deutschland",48.5908946,9.0399498
1,Bayern,257,252,179,73,"Bayern, Deutschland",48.9467562,11.4038717
2,Berlin,188,111,67,44,"Berlin, 10117, Deutschland",52.5170365,13.3888599
3,Brandenburg,85,86,51,35,"Brandenburg, Deutschland",52.8455492,13.2461296
4,Bremen,12,9,3,6,"Bremen, Deutschland",53.0758196,8.8071646
5,Hamburg,40,30,21,9,"Hamburg, Deutschland",53.550341,10.000654
6,Hessen,90,98,68,30,"Hessen, Deutschland",50.6080651,9.0284647
7,Mecklenburg-Vorpommern,65,67,38,29,"Mecklenburg-Vorpommern, Deutschland",53.7735064,12.5755471
8,Niedersachsen,220,213,144,69,"Niedersachsen, Deutschland",52.8398531,9.075962
9,Nordrhein-Westfalen,321,264,168,96,"Nordrhein-Westfalen, Deutschland",51.4789205,7.5543751
10,Rheinland-Pfalz,95,104,62,42,"Rheinland-Pfalz, Deutschland",49.9531599,7.310646
11,Saarland,21,23,9,14,"Saarland, Deutschland",49.3841872,6.9537369
12,Sachsen,108,121,82,39,"Sachsen, Deutschland",50.9295798,13.4585052
13,Sachsen-Anhalt,154,144,101,43,"Sachsen-Anhalt, Deutschland",52.0089065,11.7003344
14,Schleswig-Holstein,69,70,46,24,"Schleswig-Holstein, Deutschland",54.1853998,9.8220089
15,Thüringen,58,57,38,19,"Thüringen, Deutschland",50.9014721,11.0377839
